词语,拼音,释义,词性,繁体,部首,例句,例句翻译,同义词,反义词,搭配
中国,zhong guo,国家名称,noun,中國,丨,我第一次去中国是春天,The first time I went to China was in spring,华夏,外国,中国人民
北京,bei jing,中国的首都,noun,北京,匕,北京有很多古老的胡同,Beijing has many old hutongs,首都,地方,北京烤鸭
旅行,lv xing,出门游玩,verb,旅行,方,我们计划去海边旅行,We plan to travel to the seaside,旅游,居家,旅行计划
绿色,lv se,像草一样的颜色,noun,綠色,纟,春天的山是一片绿色,The mountains are green in spring,青色,红色,绿色食品
女人,nv ren,成年的女性,noun,女人,女,那位女人是我的老师,That woman is my teacher,女子,男人,年轻女人
温暖,wen nuan,不冷也不热,adj,溫暖,氵,南方的冬天很温暖,Winters in the south are warm,暖和,寒冷,温暖的阳光
安静,an jing,没有声音,adj,安靜,宀,图书馆里非常安静,The library is very quiet,宁静,吵闹,安静的房间
清晨,qing chen,天刚亮的早晨,noun,清晨,日,清晨的公园有很多人跑步,Many people run in the park at dawn,早晨,深夜,清晨的空气
阳光,yang guang,太阳发出的光,noun,陽光,阝,阳光照进了窗户,Sunlight pours through the window,日光,阴影,阳光明媚
朋友,peng you,关系很好的人,noun,朋友,月,他是我最好的朋友,He is my best friend,友人,敌人,好朋友
学习,xue xi,获得知识与技能,verb,學習,子,我每天学习中文,I study Chinese every day,读书,荒废,学习中文
练习,lian xi,反复训练以求熟练,verb,練習,纟,打字需要天天练习,Typing needs daily practice,训练,生疏,练习拼音
坚持,jian chi,不放弃地做下去,verb,堅持,扌,坚持练习就会进步,Keep practising and you will improve,保持,放弃,坚持到底
认真,ren zhen,仔细不马虎,adj,認真,言,他做事很认真,He works very carefully,仔细,马虎,认真学习
美丽,mei li,好看漂亮,adj,美麗,羊,这里的风景很美丽,The scenery here is beautiful,漂亮,丑陋,美丽的风景
健康,jian kang,身体好没有病,adj,健康,亻,祝你身体健康,Wish you good health,健壮,虚弱,健康生活
希望,xi wang,心里想要达到的目标,noun,希望,心,我希望明天不下雨,I hope it will not rain tomorrow,期望,失望,充满希望
幸福,xing fu,生活满意而快乐,noun,幸福,幸,一家人在一起就是幸福,Being together as a family is happiness,快乐,痛苦,幸福的生活
知识,zhi shi,人们认识世界的成果,noun,知識,矢,知识来自实践,Knowledge comes from practice,学问,无知,知识丰富
时间,shi jian,物质运动的持续性和顺序性,noun,時間,日,时间过得真快,Time flies,时光,,时间安排
经验,jing yan,由实践得来的知识,noun,經驗,纟,他有十年的教学经验,He has ten years of teaching experience,阅历,,经验丰富
困难,kun nan,不容易解决的问题,noun,困難,口,遇到困难不要放弃,Do not give up when meeting difficulties,难题,容易,克服困难
新鲜,xin xian,刚生产或刚出现的,adj,新鮮,斤,这里的蔬菜很新鲜,The vegetables here are fresh,鲜美,陈旧,新鲜空气
犹豫,you yu,拿不定主意,verb,猶豫,犭,他犹豫了很久才回答,He hesitated a long time before answering,迟疑,果断,犹豫不决
玻璃,bo li,一种透明的材料,noun,玻璃,王,窗户上的玻璃很干净,The glass on the window is clean,,,玻璃杯
葡萄,pu tao,一种成串的水果,noun,葡萄,艹,这串葡萄很甜,This bunch of grapes is sweet,,,葡萄干
电脑,dian nao,电子计算机,noun,電腦,目,我的电脑坏了,My computer is broken,计算机,,电脑屏幕
手机,shou ji,移动电话,noun,手機,手,手机没有电了,The phone is out of battery,电话,,手机铃声
图书馆,tu shu guan,藏书供人阅读的地方,noun,圖書館,囗,图书馆周末很安静,The library is quiet at weekends,,,图书馆管理员
博物馆,bo wu guan,陈列文物供人参观的地方,noun,博物館,十,博物馆里有很多古代文物,The museum holds many ancient artefacts,,,博物馆藏品
